timestamp,__name__,endpoint,instance,job,makeup,method,namespace,pod,prometheus,service,value
2024-07-04 12:02:00.805999994,tgi_batch_inference_tokproc_duration_sum,http,10.128.4.165:3000,tgis-bam,single_only,next_token,fmaas-monitoring,llama3-3,openshift-user-workload-monitoring/user-workload,tgis-bam,0.04709094599999999
2024-07-04 12:02:05.805999994,tgi_batch_inference_tokproc_duration_sum,http,10.128.4.165:3000,tgis-bam,single_only,next_token,fmaas-monitoring,llama3-3,openshift-user-workload-monitoring/user-workload,tgis-bam,0.04719538199999999
2024-07-04 12:02:10.805999994,tgi_batch_inference_tokproc_duration_sum,http,10.128.4.165:3000,tgis-bam,single_only,next_token,fmaas-monitoring,llama3-3,openshift-user-workload-monitoring/user-workload,tgis-bam,0.047604492999999984
2024-07-04 12:02:15.805999994,tgi_batch_inference_tokproc_duration_sum,http,10.128.4.165:3000,tgis-bam,single_only,next_token,fmaas-monitoring,llama3-3,openshift-user-workload-monitoring/user-workload,tgis-bam,0.047911254999999986
2024-07-04 12:02:20.805999994,tgi_batch_inference_tokproc_duration_sum,http,10.128.4.165:3000,tgis-bam,single_only,next_token,fmaas-monitoring,llama3-3,openshift-user-workload-monitoring/user-workload,tgis-bam,0.048198961999999984
2024-07-04 12:02:25.805999994,tgi_batch_inference_tokproc_duration_sum,http,10.128.4.165:3000,tgis-bam,single_only,next_token,fmaas-monitoring,llama3-3,openshift-user-workload-monitoring/user-workload,tgis-bam,0.04849549099999999
2024-07-04 12:02:30.805999994,tgi_batch_inference_tokproc_duration_sum,http,10.128.4.165:3000,tgis-bam,single_only,next_token,fmaas-monitoring,llama3-3,openshift-user-workload-monitoring/user-workload,tgis-bam,0.048853862999999983
2024-07-04 12:02:35.805999994,tgi_batch_inference_tokproc_duration_sum,http,10.128.4.165:3000,tgis-bam,single_only,next_token,fmaas-monitoring,llama3-3,openshift-user-workload-monitoring/user-workload,tgis-bam,0.04923992599999998
2024-07-04 12:02:40.805999994,tgi_batch_inference_tokproc_duration_sum,http,10.128.4.165:3000,tgis-bam,single_only,next_token,fmaas-monitoring,llama3-3,openshift-user-workload-monitoring/user-workload,tgis-bam,0.04955515099999998
2024-07-04 12:02:45.805999994,tgi_batch_inference_tokproc_duration_sum,http,10.128.4.165:3000,tgis-bam,single_only,next_token,fmaas-monitoring,llama3-3,openshift-user-workload-monitoring/user-workload,tgis-bam,0.04968763999999998
2024-07-04 12:02:50.805999994,tgi_batch_inference_tokproc_duration_sum,http,10.128.4.165:3000,tgis-bam,single_only,next_token,fmaas-monitoring,llama3-3,openshift-user-workload-monitoring/user-workload,tgis-bam,0.049917999999999976
2024-07-04 12:02:55.805999994,tgi_batch_inference_tokproc_duration_sum,http,10.128.4.165:3000,tgis-bam,single_only,next_token,fmaas-monitoring,llama3-3,openshift-user-workload-monitoring/user-workload,tgis-bam,0.05013556199999998
2024-07-04 12:03:00.805999994,tgi_batch_inference_tokproc_duration_sum,http,10.128.4.165:3000,tgis-bam,single_only,next_token,fmaas-monitoring,llama3-3,openshift-user-workload-monitoring/user-workload,tgis-bam,0.05037182999999998
2024-07-04 12:03:05.805999994,tgi_batch_inference_tokproc_duration_sum,http,10.128.4.165:3000,tgis-bam,single_only,next_token,fmaas-monitoring,llama3-3,openshift-user-workload-monitoring/user-workload,tgis-bam,0.05061836599999998
2024-07-04 12:03:10.805999994,tgi_batch_inference_tokproc_duration_sum,http,10.128.4.165:3000,tgis-bam,single_only,next_token,fmaas-monitoring,llama3-3,openshift-user-workload-monitoring/user-workload,tgis-bam,0.050799975999999976
2024-07-04 12:03:15.805999994,tgi_batch_inference_tokproc_duration_sum,http,10.128.4.165:3000,tgis-bam,single_only,next_token,fmaas-monitoring,llama3-3,openshift-user-workload-monitoring/user-workload,tgis-bam,0.05098401999999998
2024-07-04 12:03:20.805999994,tgi_batch_inference_tokproc_duration_sum,http,10.128.4.165:3000,tgis-bam,single_only,next_token,fmaas-monitoring,llama3-3,openshift-user-workload-monitoring/user-workload,tgis-bam,0.051206313999999975
2024-07-04 12:03:25.805999994,tgi_batch_inference_tokproc_duration_sum,http,10.128.4.165:3000,tgis-bam,single_only,next_token,fmaas-monitoring,llama3-3,openshift-user-workload-monitoring/user-workload,tgis-bam,0.05140374399999997
2024-07-04 12:03:30.805999994,tgi_batch_inference_tokproc_duration_sum,http,10.128.4.165:3000,tgis-bam,single_only,next_token,fmaas-monitoring,llama3-3,openshift-user-workload-monitoring/user-workload,tgis-bam,0.05159626099999997
