timestamp,__name__,endpoint,instance,job,namespace,pod,prometheus,service,value
2024-05-13 16:11:18.542999983,tgi_request_input_length_sum,http,10.128.5.235:3000,tgis-bam,fmaas-monitoring,llama3,openshift-user-workload-monitoring/user-workload,tgis-bam,454075.0
2024-05-13 16:11:23.542999983,tgi_request_input_length_sum,http,10.128.5.235:3000,tgis-bam,fmaas-monitoring,llama3,openshift-user-workload-monitoring/user-workload,tgis-bam,454105.0
2024-05-13 16:11:28.542999983,tgi_request_input_length_sum,http,10.128.5.235:3000,tgis-bam,fmaas-monitoring,llama3,openshift-user-workload-monitoring/user-workload,tgis-bam,454141.0
2024-05-13 16:11:33.542999983,tgi_request_input_length_sum,http,10.128.5.235:3000,tgis-bam,fmaas-monitoring,llama3,openshift-user-workload-monitoring/user-workload,tgis-bam,454252.0
2024-05-13 16:11:38.542999983,tgi_request_input_length_sum,http,10.128.5.235:3000,tgis-bam,fmaas-monitoring,llama3,openshift-user-workload-monitoring/user-workload,tgis-bam,454302.0
2024-05-13 16:11:43.542999983,tgi_request_input_length_sum,http,10.128.5.235:3000,tgis-bam,fmaas-monitoring,llama3,openshift-user-workload-monitoring/user-workload,tgis-bam,454407.0
2024-05-13 16:11:48.542999983,tgi_request_input_length_sum,http,10.128.5.235:3000,tgis-bam,fmaas-monitoring,llama3,openshift-user-workload-monitoring/user-workload,tgis-bam,454508.0
2024-05-13 16:11:53.542999983,tgi_request_input_length_sum,http,10.128.5.235:3000,tgis-bam,fmaas-monitoring,llama3,openshift-user-workload-monitoring/user-workload,tgis-bam,454515.0
2024-05-13 16:11:58.542999983,tgi_request_input_length_sum,http,10.128.5.235:3000,tgis-bam,fmaas-monitoring,llama3,openshift-user-workload-monitoring/user-workload,tgis-bam,454515.0
2024-05-13 16:12:03.542999983,tgi_request_input_length_sum,http,10.128.5.235:3000,tgis-bam,fmaas-monitoring,llama3,openshift-user-workload-monitoring/user-workload,tgis-bam,454515.0
2024-05-13 16:12:08.542999983,tgi_request_input_length_sum,http,10.128.5.235:3000,tgis-bam,fmaas-monitoring,llama3,openshift-user-workload-monitoring/user-workload,tgis-bam,454515.0
2024-05-13 16:12:13.542999983,tgi_request_input_length_sum,http,10.128.5.235:3000,tgis-bam,fmaas-monitoring,llama3,openshift-user-workload-monitoring/user-workload,tgis-bam,454515.0
2024-05-13 16:12:18.542999983,tgi_request_input_length_sum,http,10.128.5.235:3000,tgis-bam,fmaas-monitoring,llama3,openshift-user-workload-monitoring/user-workload,tgis-bam,454515.0
2024-05-13 16:12:23.542999983,tgi_request_input_length_sum,http,10.128.5.235:3000,tgis-bam,fmaas-monitoring,llama3,openshift-user-workload-monitoring/user-workload,tgis-bam,454520.0
2024-05-13 16:12:28.542999983,tgi_request_input_length_sum,http,10.128.5.235:3000,tgis-bam,fmaas-monitoring,llama3,openshift-user-workload-monitoring/user-workload,tgis-bam,454529.0
