timestamp,__name__,endpoint,instance,job,namespace,pod,prometheus,service,value
2024-06-03 12:56:06.174999952,tgi_request_queue_duration_sum,http,10.130.4.17:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,8324.232475212011
2024-06-03 12:56:11.164999962,tgi_request_queue_duration_sum,http,10.130.4.17:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,8330.237984821011
2024-06-03 12:56:16.164999962,tgi_request_queue_duration_sum,http,10.130.4.17:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,8330.237984821011
2024-06-03 12:56:21.164999962,tgi_request_queue_duration_sum,http,10.130.4.17:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,8337.717663134012
2024-06-03 12:56:26.164999962,tgi_request_queue_duration_sum,http,10.130.4.17:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,8337.717663134012
2024-06-03 12:56:31.164999962,tgi_request_queue_duration_sum,http,10.130.4.17:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,8345.001915115012
2024-06-03 12:56:36.164999962,tgi_request_queue_duration_sum,http,10.130.4.17:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,8345.001915115012
2024-06-03 12:56:41.164999962,tgi_request_queue_duration_sum,http,10.130.4.17:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,8346.439910747013
2024-06-03 12:56:46.164999962,tgi_request_queue_duration_sum,http,10.130.4.17:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,8353.131860213012
2024-06-03 12:56:51.164999962,tgi_request_queue_duration_sum,http,10.130.4.17:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,8354.539210210012
2024-06-03 12:56:56.164999962,tgi_request_queue_duration_sum,http,10.130.4.17:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,8358.616722030012
2024-06-03 12:57:01.164999962,tgi_request_queue_duration_sum,http,10.130.4.17:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,8360.064087508012
2024-06-03 12:57:06.164999962,tgi_request_queue_duration_sum,http,10.130.4.17:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,8363.920833758011
2024-06-03 12:57:11.164999962,tgi_request_queue_duration_sum,http,10.130.4.17:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,8375.46656967501
2024-06-03 12:57:16.164999962,tgi_request_queue_duration_sum,http,10.130.4.17:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,8375.46656967501
2024-06-03 12:57:21.164999962,tgi_request_queue_duration_sum,http,10.130.4.17:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,8383.780818719011
2024-06-03 12:57:26.164999962,tgi_request_queue_duration_sum,http,10.130.4.17:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,8383.780818719011
2024-06-03 12:57:31.164999962,tgi_request_queue_duration_sum,http,10.130.4.17:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,8396.51180837401
2024-06-03 12:57:36.164999962,tgi_request_queue_duration_sum,http,10.130.4.17:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,8396.51180837401
2024-06-03 12:57:41.164999962,tgi_request_queue_duration_sum,http,10.130.4.17:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,8402.56232891301
2024-06-03 12:57:46.164999962,tgi_request_queue_duration_sum,http,10.130.4.17:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,8402.56232891301
