timestamp,__name__,endpoint,instance,job,namespace,pod,prometheus,service,user,value
2024-07-31 06:24:00.203999996,tgi_request_mean_time_per_token_duration_sum,http,10.128.4.201:3000,tgis-bam,fmaas-monitoring,bloom-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,10100.53996327501
2024-07-31 06:24:05.203999996,tgi_request_mean_time_per_token_duration_sum,http,10.128.4.201:3000,tgis-bam,fmaas-monitoring,bloom-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,10107.05651357301
2024-07-31 06:24:10.203999996,tgi_request_mean_time_per_token_duration_sum,http,10.128.4.201:3000,tgis-bam,fmaas-monitoring,bloom-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,10133.10583583801
2024-07-31 06:24:15.203999996,tgi_request_mean_time_per_token_duration_sum,http,10.128.4.201:3000,tgis-bam,fmaas-monitoring,bloom-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,10145.07633315301
2024-07-31 06:24:20.203999996,tgi_request_mean_time_per_token_duration_sum,http,10.128.4.201:3000,tgis-bam,fmaas-monitoring,bloom-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,10161.40977524901
2024-07-31 06:24:25.203999996,tgi_request_mean_time_per_token_duration_sum,http,10.128.4.201:3000,tgis-bam,fmaas-monitoring,bloom-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,10171.080341725012
2024-07-31 06:24:30.203999996,tgi_request_mean_time_per_token_duration_sum,http,10.128.4.201:3000,tgis-bam,fmaas-monitoring,bloom-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,10181.987389774013
2024-07-31 06:24:35.213000059,tgi_request_mean_time_per_token_duration_sum,http,10.128.4.201:3000,tgis-bam,fmaas-monitoring,bloom-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,10192.713190860013
2024-07-31 06:24:40.203999996,tgi_request_mean_time_per_token_duration_sum,http,10.128.4.201:3000,tgis-bam,fmaas-monitoring,bloom-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,10209.921479467013
2024-07-31 06:24:45.203999996,tgi_request_mean_time_per_token_duration_sum,http,10.128.4.201:3000,tgis-bam,fmaas-monitoring,bloom-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,10217.968179891013
2024-07-31 06:24:50.203999996,tgi_request_mean_time_per_token_duration_sum,http,10.128.4.201:3000,tgis-bam,fmaas-monitoring,bloom-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,10227.821074640013
2024-07-31 06:24:55.203999996,tgi_request_mean_time_per_token_duration_sum,http,10.128.4.201:3000,tgis-bam,fmaas-monitoring,bloom-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,10236.554320712012
2024-07-31 06:25:00.203999996,tgi_request_mean_time_per_token_duration_sum,http,10.128.4.201:3000,tgis-bam,fmaas-monitoring,bloom-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,10247.58454285401
2024-07-31 06:25:05.203999996,tgi_request_mean_time_per_token_duration_sum,http,10.128.4.201:3000,tgis-bam,fmaas-monitoring,bloom-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,10260.320881304011
2024-07-31 06:25:10.203999996,tgi_request_mean_time_per_token_duration_sum,http,10.128.4.201:3000,tgis-bam,fmaas-monitoring,bloom-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,10271.886945374012
2024-07-31 06:25:15.203999996,tgi_request_mean_time_per_token_duration_sum,http,10.128.4.201:3000,tgis-bam,fmaas-monitoring,bloom-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,10279.71004199601
2024-07-31 06:25:20.203999996,tgi_request_mean_time_per_token_duration_sum,http,10.128.4.201:3000,tgis-bam,fmaas-monitoring,bloom-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,10292.58802241801
2024-07-31 06:25:25.203999996,tgi_request_mean_time_per_token_duration_sum,http,10.128.4.201:3000,tgis-bam,fmaas-monitoring,bloom-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,10298.063672665008
2024-07-31 06:25:30.203999996,tgi_request_mean_time_per_token_duration_sum,http,10.128.4.201:3000,tgis-bam,fmaas-monitoring,bloom-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,10306.986960056009
2024-07-31 06:25:35.203999996,tgi_request_mean_time_per_token_duration_sum,http,10.128.4.201:3000,tgis-bam,fmaas-monitoring,bloom-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,10314.72144440101
2024-07-31 06:25:40.203999996,tgi_request_mean_time_per_token_duration_sum,http,10.128.4.201:3000,tgis-bam,fmaas-monitoring,bloom-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,10327.517630159009
2024-07-31 06:25:45.203999996,tgi_request_mean_time_per_token_duration_sum,http,10.128.4.201:3000,tgis-bam,fmaas-monitoring,bloom-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,10337.887982973009
2024-07-31 06:25:50.203999996,tgi_request_mean_time_per_token_duration_sum,http,10.128.4.201:3000,tgis-bam,fmaas-monitoring,bloom-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,10353.497085454008
2024-07-31 06:25:55.203999996,tgi_request_mean_time_per_token_duration_sum,http,10.128.4.201:3000,tgis-bam,fmaas-monitoring,bloom-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,10362.060806888008
2024-07-31 06:26:00.203999996,tgi_request_mean_time_per_token_duration_sum,http,10.128.4.201:3000,tgis-bam,fmaas-monitoring,bloom-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,10366.56581330901
