timestamp,__name__,endpoint,instance,job,method,namespace,pod,prometheus,service,value
2024-07-22 18:28:00.385999918,tgi_batch_inference_batch_size_count,http,10.128.4.34:3000,tgis-bam,next_token,fmaas-monitoring,granite-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,58596.0
2024-07-22 18:28:05.385999918,tgi_batch_inference_batch_size_count,http,10.128.4.34:3000,tgis-bam,next_token,fmaas-monitoring,granite-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,58664.0
2024-07-22 18:28:10.385999918,tgi_batch_inference_batch_size_count,http,10.128.4.34:3000,tgis-bam,next_token,fmaas-monitoring,granite-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,58666.0
2024-07-22 18:28:15.385999918,tgi_batch_inference_batch_size_count,http,10.128.4.34:3000,tgis-bam,next_token,fmaas-monitoring,granite-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,58701.0
2024-07-22 18:28:20.385999918,tgi_batch_inference_batch_size_count,http,10.128.4.34:3000,tgis-bam,next_token,fmaas-monitoring,granite-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,58744.0
2024-07-22 18:28:25.385999918,tgi_batch_inference_batch_size_count,http,10.128.4.34:3000,tgis-bam,next_token,fmaas-monitoring,granite-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,58778.0
2024-07-22 18:28:30.385999918,tgi_batch_inference_batch_size_count,http,10.128.4.34:3000,tgis-bam,next_token,fmaas-monitoring,granite-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,58821.0
2024-07-22 18:28:35.385999918,tgi_batch_inference_batch_size_count,http,10.128.4.34:3000,tgis-bam,next_token,fmaas-monitoring,granite-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,58844.0
2024-07-22 18:28:40.385999918,tgi_batch_inference_batch_size_count,http,10.128.4.34:3000,tgis-bam,next_token,fmaas-monitoring,granite-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,58894.0
2024-07-22 18:28:45.385999918,tgi_batch_inference_batch_size_count,http,10.128.4.34:3000,tgis-bam,next_token,fmaas-monitoring,granite-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,58949.0
2024-07-22 18:28:50.385999918,tgi_batch_inference_batch_size_count,http,10.128.4.34:3000,tgis-bam,next_token,fmaas-monitoring,granite-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,58976.0
2024-07-22 18:28:55.385999918,tgi_batch_inference_batch_size_count,http,10.128.4.34:3000,tgis-bam,next_token,fmaas-monitoring,granite-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,59010.0
2024-07-22 18:29:00.385999918,tgi_batch_inference_batch_size_count,http,10.128.4.34:3000,tgis-bam,next_token,fmaas-monitoring,granite-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,59051.0
2024-07-22 18:29:05.385999918,tgi_batch_inference_batch_size_count,http,10.128.4.34:3000,tgis-bam,next_token,fmaas-monitoring,granite-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,59107.0
2024-07-22 18:29:10.385999918,tgi_batch_inference_batch_size_count,http,10.128.4.34:3000,tgis-bam,next_token,fmaas-monitoring,granite-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,59122.0
2024-07-22 18:29:15.385999918,tgi_batch_inference_batch_size_count,http,10.128.4.34:3000,tgis-bam,next_token,fmaas-monitoring,granite-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,59151.0
2024-07-22 18:29:20.385999918,tgi_batch_inference_batch_size_count,http,10.128.4.34:3000,tgis-bam,next_token,fmaas-monitoring,granite-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,59198.0
