timestamp,__name__,endpoint,instance,job,namespace,pod,prometheus,service,value
2024-07-17 09:01:00.401000023,tgi_batch_max_remaining_tokens,http,10.131.2.133:3000,tgis-bam,fmaas-monitoring,llama3-priority,openshift-user-workload-monitoring/user-workload,tgis-bam,1186.0
2024-07-17 09:01:05.410000086,tgi_batch_max_remaining_tokens,http,10.131.2.133:3000,tgis-bam,fmaas-monitoring,llama3-priority,openshift-user-workload-monitoring/user-workload,tgis-bam,406.0
2024-07-17 09:01:10.401000023,tgi_batch_max_remaining_tokens,http,10.131.2.133:3000,tgis-bam,fmaas-monitoring,llama3-priority,openshift-user-workload-monitoring/user-workload,tgis-bam,562.0
2024-07-17 09:01:15.401000023,tgi_batch_max_remaining_tokens,http,10.131.2.133:3000,tgis-bam,fmaas-monitoring,llama3-priority,openshift-user-workload-monitoring/user-workload,tgis-bam,832.0
2024-07-17 09:01:20.538000107,tgi_batch_max_remaining_tokens,http,10.131.2.133:3000,tgis-bam,fmaas-monitoring,llama3-priority,openshift-user-workload-monitoring/user-workload,tgis-bam,1340.0
2024-07-17 09:01:25.401000023,tgi_batch_max_remaining_tokens,http,10.131.2.133:3000,tgis-bam,fmaas-monitoring,llama3-priority,openshift-user-workload-monitoring/user-workload,tgis-bam,1565.0
2024-07-17 09:01:30.401000023,tgi_batch_max_remaining_tokens,http,10.131.2.133:3000,tgis-bam,fmaas-monitoring,llama3-priority,openshift-user-workload-monitoring/user-workload,tgis-bam,1602.0
2024-07-17 09:01:35.401000023,tgi_batch_max_remaining_tokens,http,10.131.2.133:3000,tgis-bam,fmaas-monitoring,llama3-priority,openshift-user-workload-monitoring/user-workload,tgis-bam,999.0
2024-07-17 09:01:40.401000023,tgi_batch_max_remaining_tokens,http,10.131.2.133:3000,tgis-bam,fmaas-monitoring,llama3-priority,openshift-user-workload-monitoring/user-workload,tgis-bam,1011.0
2024-07-17 09:01:45.401000023,tgi_batch_max_remaining_tokens,http,10.131.2.133:3000,tgis-bam,fmaas-monitoring,llama3-priority,openshift-user-workload-monitoring/user-workload,tgis-bam,1298.0
2024-07-17 09:01:50.401000023,tgi_batch_max_remaining_tokens,http,10.131.2.133:3000,tgis-bam,fmaas-monitoring,llama3-priority,openshift-user-workload-monitoring/user-workload,tgis-bam,1474.0
2024-07-17 09:01:55.401000023,tgi_batch_max_remaining_tokens,http,10.131.2.133:3000,tgis-bam,fmaas-monitoring,llama3-priority,openshift-user-workload-monitoring/user-workload,tgis-bam,1247.0
2024-07-17 09:02:00.401000023,tgi_batch_max_remaining_tokens,http,10.131.2.133:3000,tgis-bam,fmaas-monitoring,llama3-priority,openshift-user-workload-monitoring/user-workload,tgis-bam,610.0
2024-07-17 09:02:05.401000023,tgi_batch_max_remaining_tokens,http,10.131.2.133:3000,tgis-bam,fmaas-monitoring,llama3-priority,openshift-user-workload-monitoring/user-workload,tgis-bam,462.0
2024-07-17 09:02:10.401000023,tgi_batch_max_remaining_tokens,http,10.131.2.133:3000,tgis-bam,fmaas-monitoring,llama3-priority,openshift-user-workload-monitoring/user-workload,tgis-bam,732.0
2024-07-17 09:02:15.401000023,tgi_batch_max_remaining_tokens,http,10.131.2.133:3000,tgis-bam,fmaas-monitoring,llama3-priority,openshift-user-workload-monitoring/user-workload,tgis-bam,1121.0
2024-07-17 09:02:20.401000023,tgi_batch_max_remaining_tokens,http,10.131.2.133:3000,tgis-bam,fmaas-monitoring,llama3-priority,openshift-user-workload-monitoring/user-workload,tgis-bam,1279.0
2024-07-17 09:02:25.401000023,tgi_batch_max_remaining_tokens,http,10.131.2.133:3000,tgis-bam,fmaas-monitoring,llama3-priority,openshift-user-workload-monitoring/user-workload,tgis-bam,1264.0
2024-07-17 09:02:30.401000023,tgi_batch_max_remaining_tokens,http,10.131.2.133:3000,tgis-bam,fmaas-monitoring,llama3-priority,openshift-user-workload-monitoring/user-workload,tgis-bam,1250.0
2024-07-17 09:02:35.401000023,tgi_batch_max_remaining_tokens,http,10.131.2.133:3000,tgis-bam,fmaas-monitoring,llama3-priority,openshift-user-workload-monitoring/user-workload,tgis-bam,802.0
2024-07-17 09:02:40.401000023,tgi_batch_max_remaining_tokens,http,10.131.2.133:3000,tgis-bam,fmaas-monitoring,llama3-priority,openshift-user-workload-monitoring/user-workload,tgis-bam,986.0
2024-07-17 09:02:45.401000023,tgi_batch_max_remaining_tokens,http,10.131.2.133:3000,tgis-bam,fmaas-monitoring,llama3-priority,openshift-user-workload-monitoring/user-workload,tgis-bam,1242.0
2024-07-17 09:02:50.401000023,tgi_batch_max_remaining_tokens,http,10.131.2.133:3000,tgis-bam,fmaas-monitoring,llama3-priority,openshift-user-workload-monitoring/user-workload,tgis-bam,1523.0
2024-07-17 09:02:55.401000023,tgi_batch_max_remaining_tokens,http,10.131.2.133:3000,tgis-bam,fmaas-monitoring,llama3-priority,openshift-user-workload-monitoring/user-workload,tgis-bam,1509.0
2024-07-17 09:03:00.401000023,tgi_batch_max_remaining_tokens,http,10.131.2.133:3000,tgis-bam,fmaas-monitoring,llama3-priority,openshift-user-workload-monitoring/user-workload,tgis-bam,606.0
2024-07-17 09:03:05.401000023,tgi_batch_max_remaining_tokens,http,10.131.2.133:3000,tgis-bam,fmaas-monitoring,llama3-priority,openshift-user-workload-monitoring/user-workload,tgis-bam,885.0
2024-07-17 09:03:10.401000023,tgi_batch_max_remaining_tokens,http,10.131.2.133:3000,tgis-bam,fmaas-monitoring,llama3-priority,openshift-user-workload-monitoring/user-workload,tgis-bam,1175.0
2024-07-17 09:03:15.401000023,tgi_batch_max_remaining_tokens,http,10.131.2.133:3000,tgis-bam,fmaas-monitoring,llama3-priority,openshift-user-workload-monitoring/user-workload,tgis-bam,1341.0
2024-07-17 09:03:20.401000023,tgi_batch_max_remaining_tokens,http,10.131.2.133:3000,tgis-bam,fmaas-monitoring,llama3-priority,openshift-user-workload-monitoring/user-workload,tgis-bam,1556.0
