timestamp,__name__,endpoint,instance,job,namespace,pod,prometheus,service,value
2024-07-04 12:02:01.390000105,tgi_batch_input_tokens,http,10.128.4.163:3000,tgis-bam,fmaas-monitoring,llama3-1,openshift-user-workload-monitoring/user-workload,tgis-bam,0.0
2024-07-04 12:02:06.381999969,tgi_batch_input_tokens,http,10.128.4.163:3000,tgis-bam,fmaas-monitoring,llama3-1,openshift-user-workload-monitoring/user-workload,tgis-bam,48624.0
2024-07-04 12:02:11.381999969,tgi_batch_input_tokens,http,10.128.4.163:3000,tgis-bam,fmaas-monitoring,llama3-1,openshift-user-workload-monitoring/user-workload,tgis-bam,91365.0
2024-07-04 12:02:16.381999969,tgi_batch_input_tokens,http,10.128.4.163:3000,tgis-bam,fmaas-monitoring,llama3-1,openshift-user-workload-monitoring/user-workload,tgis-bam,140576.0
2024-07-04 12:02:21.381999969,tgi_batch_input_tokens,http,10.128.4.163:3000,tgis-bam,fmaas-monitoring,llama3-1,openshift-user-workload-monitoring/user-workload,tgis-bam,189844.0
2024-07-04 12:02:26.450000048,tgi_batch_input_tokens,http,10.128.4.163:3000,tgis-bam,fmaas-monitoring,llama3-1,openshift-user-workload-monitoring/user-workload,tgis-bam,190309.0
2024-07-04 12:02:31.381999969,tgi_batch_input_tokens,http,10.128.4.163:3000,tgis-bam,fmaas-monitoring,llama3-1,openshift-user-workload-monitoring/user-workload,tgis-bam,190743.0
2024-07-04 12:02:36.381999969,tgi_batch_input_tokens,http,10.128.4.163:3000,tgis-bam,fmaas-monitoring,llama3-1,openshift-user-workload-monitoring/user-workload,tgis-bam,191177.0
2024-07-04 12:02:41.381999969,tgi_batch_input_tokens,http,10.128.4.163:3000,tgis-bam,fmaas-monitoring,llama3-1,openshift-user-workload-monitoring/user-workload,tgis-bam,191642.0
2024-07-04 12:02:46.381999969,tgi_batch_input_tokens,http,10.128.4.163:3000,tgis-bam,fmaas-monitoring,llama3-1,openshift-user-workload-monitoring/user-workload,tgis-bam,192076.0
2024-07-04 12:02:51.381999969,tgi_batch_input_tokens,http,10.128.4.163:3000,tgis-bam,fmaas-monitoring,llama3-1,openshift-user-workload-monitoring/user-workload,tgis-bam,192510.0
2024-07-04 12:02:56.381999969,tgi_batch_input_tokens,http,10.128.4.163:3000,tgis-bam,fmaas-monitoring,llama3-1,openshift-user-workload-monitoring/user-workload,tgis-bam,192975.0
2024-07-04 12:03:01.385999918,tgi_batch_input_tokens,http,10.128.4.163:3000,tgis-bam,fmaas-monitoring,llama3-1,openshift-user-workload-monitoring/user-workload,tgis-bam,193378.0
2024-07-04 12:03:06.381999969,tgi_batch_input_tokens,http,10.128.4.163:3000,tgis-bam,fmaas-monitoring,llama3-1,openshift-user-workload-monitoring/user-workload,tgis-bam,193812.0
2024-07-04 12:03:11.381999969,tgi_batch_input_tokens,http,10.128.4.163:3000,tgis-bam,fmaas-monitoring,llama3-1,openshift-user-workload-monitoring/user-workload,tgis-bam,174560.0
2024-07-04 12:03:16.381999969,tgi_batch_input_tokens,http,10.128.4.163:3000,tgis-bam,fmaas-monitoring,llama3-1,openshift-user-workload-monitoring/user-workload,tgis-bam,175072.0
2024-07-04 12:03:21.381999969,tgi_batch_input_tokens,http,10.128.4.163:3000,tgis-bam,fmaas-monitoring,llama3-1,openshift-user-workload-monitoring/user-workload,tgis-bam,170097.0
2024-07-04 12:03:26.381999969,tgi_batch_input_tokens,http,10.128.4.163:3000,tgis-bam,fmaas-monitoring,llama3-1,openshift-user-workload-monitoring/user-workload,tgis-bam,148581.0
2024-07-04 12:03:31.381999969,tgi_batch_input_tokens,http,10.128.4.163:3000,tgis-bam,fmaas-monitoring,llama3-1,openshift-user-workload-monitoring/user-workload,tgis-bam,186004.0
2024-07-04 12:03:36.381999969,tgi_batch_input_tokens,http,10.128.4.163:3000,tgis-bam,fmaas-monitoring,llama3-1,openshift-user-workload-monitoring/user-workload,tgis-bam,150549.0
2024-07-04 12:03:41.388000011,tgi_batch_input_tokens,http,10.128.4.163:3000,tgis-bam,fmaas-monitoring,llama3-1,openshift-user-workload-monitoring/user-workload,tgis-bam,129366.0
2024-07-04 12:03:46.381999969,tgi_batch_input_tokens,http,10.128.4.163:3000,tgis-bam,fmaas-monitoring,llama3-1,openshift-user-workload-monitoring/user-workload,tgis-bam,187096.0
2024-07-04 12:03:51.381999969,tgi_batch_input_tokens,http,10.128.4.163:3000,tgis-bam,fmaas-monitoring,llama3-1,openshift-user-workload-monitoring/user-workload,tgis-bam,187486.0
2024-07-04 12:03:56.381999969,tgi_batch_input_tokens,http,10.128.4.163:3000,tgis-bam,fmaas-monitoring,llama3-1,openshift-user-workload-monitoring/user-workload,tgis-bam,187876.0
2024-07-04 12:04:01.381999969,tgi_batch_input_tokens,http,10.128.4.163:3000,tgis-bam,fmaas-monitoring,llama3-1,openshift-user-workload-monitoring/user-workload,tgis-bam,188240.0
2024-07-04 12:04:06.381999969,tgi_batch_input_tokens,http,10.128.4.163:3000,tgis-bam,fmaas-monitoring,llama3-1,openshift-user-workload-monitoring/user-workload,tgis-bam,188630.0
2024-07-04 12:04:11.385999918,tgi_batch_input_tokens,http,10.128.4.163:3000,tgis-bam,fmaas-monitoring,llama3-1,openshift-user-workload-monitoring/user-workload,tgis-bam,189020.0
2024-07-04 12:04:16.381999969,tgi_batch_input_tokens,http,10.128.4.163:3000,tgis-bam,fmaas-monitoring,llama3-1,openshift-user-workload-monitoring/user-workload,tgis-bam,189384.0
2024-07-04 12:04:21.381999969,tgi_batch_input_tokens,http,10.128.4.163:3000,tgis-bam,fmaas-monitoring,llama3-1,openshift-user-workload-monitoring/user-workload,tgis-bam,189774.0
2024-07-04 12:04:26.381999969,tgi_batch_input_tokens,http,10.128.4.163:3000,tgis-bam,fmaas-monitoring,llama3-1,openshift-user-workload-monitoring/user-workload,tgis-bam,190138.0
2024-07-04 12:04:31.384999990,tgi_batch_input_tokens,http,10.128.4.163:3000,tgis-bam,fmaas-monitoring,llama3-1,openshift-user-workload-monitoring/user-workload,tgis-bam,190502.0
2024-07-04 12:04:36.381999969,tgi_batch_input_tokens,http,10.128.4.163:3000,tgis-bam,fmaas-monitoring,llama3-1,openshift-user-workload-monitoring/user-workload,tgis-bam,190866.0
2024-07-04 12:04:41.381999969,tgi_batch_input_tokens,http,10.128.4.163:3000,tgis-bam,fmaas-monitoring,llama3-1,openshift-user-workload-monitoring/user-workload,tgis-bam,191204.0
2024-07-04 12:04:46.381999969,tgi_batch_input_tokens,http,10.128.4.163:3000,tgis-bam,fmaas-monitoring,llama3-1,openshift-user-workload-monitoring/user-workload,tgis-bam,191568.0
2024-07-04 12:04:51.381999969,tgi_batch_input_tokens,http,10.128.4.163:3000,tgis-bam,fmaas-monitoring,llama3-1,openshift-user-workload-monitoring/user-workload,tgis-bam,191906.0
2024-07-04 12:04:56.415999889,tgi_batch_input_tokens,http,10.128.4.163:3000,tgis-bam,fmaas-monitoring,llama3-1,openshift-user-workload-monitoring/user-workload,tgis-bam,192270.0
2024-07-04 12:05:01.446000099,tgi_batch_input_tokens,http,10.128.4.163:3000,tgis-bam,fmaas-monitoring,llama3-1,openshift-user-workload-monitoring/user-workload,tgis-bam,149580.0
2024-07-04 12:05:06.381999969,tgi_batch_input_tokens,http,10.128.4.163:3000,tgis-bam,fmaas-monitoring,llama3-1,openshift-user-workload-monitoring/user-workload,tgis-bam,188836.0
2024-07-04 12:05:11.381999969,tgi_batch_input_tokens,http,10.128.4.163:3000,tgis-bam,fmaas-monitoring,llama3-1,openshift-user-workload-monitoring/user-workload,tgis-bam,192579.0
2024-07-04 12:05:16.381999969,tgi_batch_input_tokens,http,10.128.4.163:3000,tgis-bam,fmaas-monitoring,llama3-1,openshift-user-workload-monitoring/user-workload,tgis-bam,171105.0
2024-07-04 12:05:21.381999969,tgi_batch_input_tokens,http,10.128.4.163:3000,tgis-bam,fmaas-monitoring,llama3-1,openshift-user-workload-monitoring/user-workload,tgis-bam,186225.0
2024-07-04 12:05:26.381999969,tgi_batch_input_tokens,http,10.128.4.163:3000,tgis-bam,fmaas-monitoring,llama3-1,openshift-user-workload-monitoring/user-workload,tgis-bam,187200.0
2024-07-04 12:05:31.381999969,tgi_batch_input_tokens,http,10.128.4.163:3000,tgis-bam,fmaas-monitoring,llama3-1,openshift-user-workload-monitoring/user-workload,tgis-bam,182196.0
2024-07-04 12:05:36.381999969,tgi_batch_input_tokens,http,10.128.4.163:3000,tgis-bam,fmaas-monitoring,llama3-1,openshift-user-workload-monitoring/user-workload,tgis-bam,188825.0
2024-07-04 12:05:41.381999969,tgi_batch_input_tokens,http,10.128.4.163:3000,tgis-bam,fmaas-monitoring,llama3-1,openshift-user-workload-monitoring/user-workload,tgis-bam,189670.0
2024-07-04 12:05:46.381999969,tgi_batch_input_tokens,http,10.128.4.163:3000,tgis-bam,fmaas-monitoring,llama3-1,openshift-user-workload-monitoring/user-workload,tgis-bam,190515.0
2024-07-04 12:05:51.381999969,tgi_batch_input_tokens,http,10.128.4.163:3000,tgis-bam,fmaas-monitoring,llama3-1,openshift-user-workload-monitoring/user-workload,tgis-bam,191360.0
2024-07-04 12:05:56.381999969,tgi_batch_input_tokens,http,10.128.4.163:3000,tgis-bam,fmaas-monitoring,llama3-1,openshift-user-workload-monitoring/user-workload,tgis-bam,192270.0
2024-07-04 12:06:01.381999969,tgi_batch_input_tokens,http,10.128.4.163:3000,tgis-bam,fmaas-monitoring,llama3-1,openshift-user-workload-monitoring/user-workload,tgis-bam,193115.0
2024-07-04 12:06:06.381999969,tgi_batch_input_tokens,http,10.128.4.163:3000,tgis-bam,fmaas-monitoring,llama3-1,openshift-user-workload-monitoring/user-workload,tgis-bam,193960.0
2024-07-04 12:06:11.381999969,tgi_batch_input_tokens,http,10.128.4.163:3000,tgis-bam,fmaas-monitoring,llama3-1,openshift-user-workload-monitoring/user-workload,tgis-bam,194870.0
2024-07-04 12:06:16.381999969,tgi_batch_input_tokens,http,10.128.4.163:3000,tgis-bam,fmaas-monitoring,llama3-1,openshift-user-workload-monitoring/user-workload,tgis-bam,186620.0
2024-07-04 12:06:21.424999952,tgi_batch_input_tokens,http,10.128.4.163:3000,tgis-bam,fmaas-monitoring,llama3-1,openshift-user-workload-monitoring/user-workload,tgis-bam,193472.0
