timestamp,__name__,endpoint,instance,job,namespace,pod,prometheus,service,user,value
2024-07-04 12:02:03.971999884,tgi_request_generated_tokens_count,http,10.128.4.164:3000,tgis-bam,fmaas-monitoring,llama3-2,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,207.0
2024-07-04 12:02:08.971999884,tgi_request_generated_tokens_count,http,10.128.4.164:3000,tgis-bam,fmaas-monitoring,llama3-2,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,207.0
2024-07-04 12:02:13.971999884,tgi_request_generated_tokens_count,http,10.128.4.164:3000,tgis-bam,fmaas-monitoring,llama3-2,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,207.0
2024-07-04 12:02:18.971999884,tgi_request_generated_tokens_count,http,10.128.4.164:3000,tgis-bam,fmaas-monitoring,llama3-2,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,207.0
2024-07-04 12:02:23.971999884,tgi_request_generated_tokens_count,http,10.128.4.164:3000,tgis-bam,fmaas-monitoring,llama3-2,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,207.0
2024-07-04 12:02:28.971999884,tgi_request_generated_tokens_count,http,10.128.4.164:3000,tgis-bam,fmaas-monitoring,llama3-2,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,207.0
2024-07-04 12:02:33.971999884,tgi_request_generated_tokens_count,http,10.128.4.164:3000,tgis-bam,fmaas-monitoring,llama3-2,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,207.0
2024-07-04 12:02:38.971999884,tgi_request_generated_tokens_count,http,10.128.4.164:3000,tgis-bam,fmaas-monitoring,llama3-2,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,207.0
2024-07-04 12:02:43.971999884,tgi_request_generated_tokens_count,http,10.128.4.164:3000,tgis-bam,fmaas-monitoring,llama3-2,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,208.0
2024-07-04 12:02:48.971999884,tgi_request_generated_tokens_count,http,10.128.4.164:3000,tgis-bam,fmaas-monitoring,llama3-2,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,208.0
2024-07-04 12:02:53.971999884,tgi_request_generated_tokens_count,http,10.128.4.164:3000,tgis-bam,fmaas-monitoring,llama3-2,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,208.0
2024-07-04 12:02:58.971999884,tgi_request_generated_tokens_count,http,10.128.4.164:3000,tgis-bam,fmaas-monitoring,llama3-2,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,208.0
2024-07-04 12:03:03.971999884,tgi_request_generated_tokens_count,http,10.128.4.164:3000,tgis-bam,fmaas-monitoring,llama3-2,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,208.0
2024-07-04 12:03:08.971999884,tgi_request_generated_tokens_count,http,10.128.4.164:3000,tgis-bam,fmaas-monitoring,llama3-2,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,209.0
2024-07-04 12:03:13.971999884,tgi_request_generated_tokens_count,http,10.128.4.164:3000,tgis-bam,fmaas-monitoring,llama3-2,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,210.0
