timestamp,__name__,endpoint,instance,job,namespace,pod,prometheus,service,value
2024-07-05 06:03:03.844000101,tgi_request_generated_tokens_count,http,10.128.4.169:8000,vllm-llama,fmaas-monitoring,vllm-llama-2,openshift-user-workload-monitoring/user-workload,vllm-llama,0.0
2024-07-05 06:03:08.844000101,tgi_request_generated_tokens_count,http,10.128.4.169:8000,vllm-llama,fmaas-monitoring,vllm-llama-2,openshift-user-workload-monitoring/user-workload,vllm-llama,0.0
2024-07-05 06:03:13.844000101,tgi_request_generated_tokens_count,http,10.128.4.169:8000,vllm-llama,fmaas-monitoring,vllm-llama-2,openshift-user-workload-monitoring/user-workload,vllm-llama,0.0
2024-07-05 06:03:18.844000101,tgi_request_generated_tokens_count,http,10.128.4.169:8000,vllm-llama,fmaas-monitoring,vllm-llama-2,openshift-user-workload-monitoring/user-workload,vllm-llama,0.0
2024-07-05 06:03:23.844000101,tgi_request_generated_tokens_count,http,10.128.4.169:8000,vllm-llama,fmaas-monitoring,vllm-llama-2,openshift-user-workload-monitoring/user-workload,vllm-llama,0.0
2024-07-05 06:03:28.844000101,tgi_request_generated_tokens_count,http,10.128.4.169:8000,vllm-llama,fmaas-monitoring,vllm-llama-2,openshift-user-workload-monitoring/user-workload,vllm-llama,0.0
2024-07-05 06:03:33.844000101,tgi_request_generated_tokens_count,http,10.128.4.169:8000,vllm-llama,fmaas-monitoring,vllm-llama-2,openshift-user-workload-monitoring/user-workload,vllm-llama,1.0
2024-07-05 06:03:38.844000101,tgi_request_generated_tokens_count,http,10.128.4.169:8000,vllm-llama,fmaas-monitoring,vllm-llama-2,openshift-user-workload-monitoring/user-workload,vllm-llama,17.0
2024-07-05 06:03:43.844000101,tgi_request_generated_tokens_count,http,10.128.4.169:8000,vllm-llama,fmaas-monitoring,vllm-llama-2,openshift-user-workload-monitoring/user-workload,vllm-llama,28.0
2024-07-05 06:03:48.844000101,tgi_request_generated_tokens_count,http,10.128.4.169:8000,vllm-llama,fmaas-monitoring,vllm-llama-2,openshift-user-workload-monitoring/user-workload,vllm-llama,28.0
2024-07-05 06:03:53.844000101,tgi_request_generated_tokens_count,http,10.128.4.169:8000,vllm-llama,fmaas-monitoring,vllm-llama-2,openshift-user-workload-monitoring/user-workload,vllm-llama,42.0
2024-07-05 06:03:58.844000101,tgi_request_generated_tokens_count,http,10.128.4.169:8000,vllm-llama,fmaas-monitoring,vllm-llama-2,openshift-user-workload-monitoring/user-workload,vllm-llama,42.0
2024-07-05 06:04:03.844000101,tgi_request_generated_tokens_count,http,10.128.4.169:8000,vllm-llama,fmaas-monitoring,vllm-llama-2,openshift-user-workload-monitoring/user-workload,vllm-llama,44.0
2024-07-05 06:04:08.844000101,tgi_request_generated_tokens_count,http,10.128.4.169:8000,vllm-llama,fmaas-monitoring,vllm-llama-2,openshift-user-workload-monitoring/user-workload,vllm-llama,59.0
2024-07-05 06:04:13.844000101,tgi_request_generated_tokens_count,http,10.128.4.169:8000,vllm-llama,fmaas-monitoring,vllm-llama-2,openshift-user-workload-monitoring/user-workload,vllm-llama,75.0
2024-07-05 06:04:18.844000101,tgi_request_generated_tokens_count,http,10.128.4.169:8000,vllm-llama,fmaas-monitoring,vllm-llama-2,openshift-user-workload-monitoring/user-workload,vllm-llama,75.0
2024-07-05 06:04:23.844000101,tgi_request_generated_tokens_count,http,10.128.4.169:8000,vllm-llama,fmaas-monitoring,vllm-llama-2,openshift-user-workload-monitoring/user-workload,vllm-llama,89.0
2024-07-05 06:04:28.844000101,tgi_request_generated_tokens_count,http,10.128.4.169:8000,vllm-llama,fmaas-monitoring,vllm-llama-2,openshift-user-workload-monitoring/user-workload,vllm-llama,90.0
2024-07-05 06:04:33.844000101,tgi_request_generated_tokens_count,http,10.128.4.169:8000,vllm-llama,fmaas-monitoring,vllm-llama-2,openshift-user-workload-monitoring/user-workload,vllm-llama,91.0
2024-07-05 06:04:38.844000101,tgi_request_generated_tokens_count,http,10.128.4.169:8000,vllm-llama,fmaas-monitoring,vllm-llama-2,openshift-user-workload-monitoring/user-workload,vllm-llama,100.0
2024-07-05 06:04:43.844000101,tgi_request_generated_tokens_count,http,10.128.4.169:8000,vllm-llama,fmaas-monitoring,vllm-llama-2,openshift-user-workload-monitoring/user-workload,vllm-llama,109.0
2024-07-05 06:04:48.844000101,tgi_request_generated_tokens_count,http,10.128.4.169:8000,vllm-llama,fmaas-monitoring,vllm-llama-2,openshift-user-workload-monitoring/user-workload,vllm-llama,117.0
2024-07-05 06:04:53.844000101,tgi_request_generated_tokens_count,http,10.128.4.169:8000,vllm-llama,fmaas-monitoring,vllm-llama-2,openshift-user-workload-monitoring/user-workload,vllm-llama,125.0
2024-07-05 06:04:58.844000101,tgi_request_generated_tokens_count,http,10.128.4.169:8000,vllm-llama,fmaas-monitoring,vllm-llama-2,openshift-user-workload-monitoring/user-workload,vllm-llama,136.0
2024-07-05 06:05:03.844000101,tgi_request_generated_tokens_count,http,10.128.4.169:8000,vllm-llama,fmaas-monitoring,vllm-llama-2,openshift-user-workload-monitoring/user-workload,vllm-llama,144.0
2024-07-05 06:05:08.844000101,tgi_request_generated_tokens_count,http,10.128.4.169:8000,vllm-llama,fmaas-monitoring,vllm-llama-2,openshift-user-workload-monitoring/user-workload,vllm-llama,152.0
2024-07-05 06:05:13.844000101,tgi_request_generated_tokens_count,http,10.128.4.169:8000,vllm-llama,fmaas-monitoring,vllm-llama-2,openshift-user-workload-monitoring/user-workload,vllm-llama,152.0
2024-07-05 06:05:18.844000101,tgi_request_generated_tokens_count,http,10.128.4.169:8000,vllm-llama,fmaas-monitoring,vllm-llama-2,openshift-user-workload-monitoring/user-workload,vllm-llama,162.0
2024-07-05 06:05:23.844000101,tgi_request_generated_tokens_count,http,10.128.4.169:8000,vllm-llama,fmaas-monitoring,vllm-llama-2,openshift-user-workload-monitoring/user-workload,vllm-llama,168.0
2024-07-05 06:05:28.844000101,tgi_request_generated_tokens_count,http,10.128.4.169:8000,vllm-llama,fmaas-monitoring,vllm-llama-2,openshift-user-workload-monitoring/user-workload,vllm-llama,176.0
2024-07-05 06:05:33.844000101,tgi_request_generated_tokens_count,http,10.128.4.169:8000,vllm-llama,fmaas-monitoring,vllm-llama-2,openshift-user-workload-monitoring/user-workload,vllm-llama,179.0
2024-07-05 06:05:38.844000101,tgi_request_generated_tokens_count,http,10.128.4.169:8000,vllm-llama,fmaas-monitoring,vllm-llama-2,openshift-user-workload-monitoring/user-workload,vllm-llama,183.0
2024-07-05 06:05:43.844000101,tgi_request_generated_tokens_count,http,10.128.4.169:8000,vllm-llama,fmaas-monitoring,vllm-llama-2,openshift-user-workload-monitoring/user-workload,vllm-llama,185.0
2024-07-05 06:05:48.844000101,tgi_request_generated_tokens_count,http,10.128.4.169:8000,vllm-llama,fmaas-monitoring,vllm-llama-2,openshift-user-workload-monitoring/user-workload,vllm-llama,193.0
