timestamp,__name__,endpoint,instance,job,namespace,pod,prometheus,service,value
2024-06-11 11:12:00.069999933,tgi_request_input_length_count,http,10.129.5.96:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,17086.0
2024-06-11 11:12:05.069999933,tgi_request_input_length_count,http,10.129.5.96:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,17101.0
2024-06-11 11:12:10.069999933,tgi_request_input_length_count,http,10.129.5.96:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,17101.0
2024-06-11 11:12:15.069999933,tgi_request_input_length_count,http,10.129.5.96:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,17119.0
2024-06-11 11:12:20.069999933,tgi_request_input_length_count,http,10.129.5.96:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,17119.0
2024-06-11 11:12:25.069999933,tgi_request_input_length_count,http,10.129.5.96:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,17142.0
2024-06-11 11:12:30.069999933,tgi_request_input_length_count,http,10.129.5.96:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,17142.0
2024-06-11 11:12:35.079999924,tgi_request_input_length_count,http,10.129.5.96:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,17153.0
2024-06-11 11:12:40.069999933,tgi_request_input_length_count,http,10.129.5.96:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,17153.0
2024-06-11 11:12:45.069999933,tgi_request_input_length_count,http,10.129.5.96:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,17163.0
2024-06-11 11:12:50.072999954,tgi_request_input_length_count,http,10.129.5.96:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,17163.0
2024-06-11 11:12:55.069999933,tgi_request_input_length_count,http,10.129.5.96:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,17170.0
2024-06-11 11:13:00.069999933,tgi_request_input_length_count,http,10.129.5.96:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,17170.0
2024-06-11 11:13:05.069999933,tgi_request_input_length_count,http,10.129.5.96:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,17182.0
2024-06-11 11:13:10.069999933,tgi_request_input_length_count,http,10.129.5.96:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,17182.0
2024-06-11 11:13:15.069999933,tgi_request_input_length_count,http,10.129.5.96:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,17190.0
2024-06-11 11:13:20.069999933,tgi_request_input_length_count,http,10.129.5.96:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,17190.0
2024-06-11 11:13:25.069999933,tgi_request_input_length_count,http,10.129.5.96:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,17205.0
2024-06-11 11:13:30.069999933,tgi_request_input_length_count,http,10.129.5.96:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,17205.0
2024-06-11 11:13:35.069999933,tgi_request_input_length_count,http,10.129.5.96:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,17222.0
2024-06-11 11:13:40.069999933,tgi_request_input_length_count,http,10.129.5.96:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,17222.0
2024-06-11 11:13:45.069999933,tgi_request_input_length_count,http,10.129.5.96:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,17232.0
2024-06-11 11:13:50.069999933,tgi_request_input_length_count,http,10.129.5.96:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,17232.0
2024-06-11 11:13:55.069999933,tgi_request_input_length_count,http,10.129.5.96:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,17247.0
2024-06-11 11:14:00.069999933,tgi_request_input_length_count,http,10.129.5.96:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,17247.0
2024-06-11 11:14:05.069999933,tgi_request_input_length_count,http,10.129.5.96:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,17265.0
2024-06-11 11:14:10.069999933,tgi_request_input_length_count,http,10.129.5.96:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,17265.0
2024-06-11 11:14:15.069999933,tgi_request_input_length_count,http,10.129.5.96:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,17280.0
2024-06-11 11:14:20.069999933,tgi_request_input_length_count,http,10.129.5.96:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,17280.0
2024-06-11 11:14:25.069999933,tgi_request_input_length_count,http,10.129.5.96:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,17294.0
2024-06-11 11:14:30.069999933,tgi_request_input_length_count,http,10.129.5.96:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,17294.0
2024-06-11 11:14:35.069999933,tgi_request_input_length_count,http,10.129.5.96:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,17315.0
2024-06-11 11:14:40.069999933,tgi_request_input_length_count,http,10.129.5.96:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,17315.0
2024-06-11 11:14:45.069999933,tgi_request_input_length_count,http,10.129.5.96:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,17324.0
2024-06-11 11:14:50.069999933,tgi_request_input_length_count,http,10.129.5.96:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,17324.0
2024-06-11 11:14:55.069999933,tgi_request_input_length_count,http,10.129.5.96:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,17334.0
2024-06-11 11:15:00.069999933,tgi_request_input_length_count,http,10.129.5.96:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,17334.0
2024-06-11 11:15:05.069999933,tgi_request_input_length_count,http,10.129.5.96:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,17342.0
2024-06-11 11:15:10.075999975,tgi_request_input_length_count,http,10.129.5.96:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,17342.0
2024-06-11 11:15:15.069999933,tgi_request_input_length_count,http,10.129.5.96:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,17352.0
2024-06-11 11:15:20.069999933,tgi_request_input_length_count,http,10.129.5.96:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,17352.0
2024-06-11 11:15:25.069999933,tgi_request_input_length_count,http,10.129.5.96:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,17356.0
2024-06-11 11:15:30.069999933,tgi_request_input_length_count,http,10.129.5.96:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,17356.0
2024-06-11 11:15:35.069999933,tgi_request_input_length_count,http,10.129.5.96:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,17370.0
2024-06-11 11:15:40.069999933,tgi_request_input_length_count,http,10.129.5.96:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,17370.0
2024-06-11 11:15:45.069999933,tgi_request_input_length_count,http,10.129.5.96:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,17377.0
2024-06-11 11:15:50.069999933,tgi_request_input_length_count,http,10.129.5.96:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,17377.0
2024-06-11 11:15:55.069999933,tgi_request_input_length_count,http,10.129.5.96:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,17394.0
2024-06-11 11:16:00.069999933,tgi_request_input_length_count,http,10.129.5.96:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,17394.0
2024-06-11 11:16:05.069999933,tgi_request_input_length_count,http,10.129.5.96:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,17412.0
2024-06-11 11:16:10.069999933,tgi_request_input_length_count,http,10.129.5.96:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,17412.0
2024-06-11 11:16:15.069999933,tgi_request_input_length_count,http,10.129.5.96:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,17427.0
2024-06-11 11:16:20.069999933,tgi_request_input_length_count,http,10.129.5.96:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,17427.0
2024-06-11 11:16:25.069999933,tgi_request_input_length_count,http,10.129.5.96:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,17442.0
2024-06-11 11:16:30.069999933,tgi_request_input_length_count,http,10.129.5.96:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,17442.0
2024-06-11 11:16:35.069999933,tgi_request_input_length_count,http,10.129.5.96:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,17455.0
2024-06-11 11:16:40.069999933,tgi_request_input_length_count,http,10.129.5.96:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,17455.0
2024-06-11 11:16:45.069999933,tgi_request_input_length_count,http,10.129.5.96:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,17470.0
2024-06-11 11:16:50.069999933,tgi_request_input_length_count,http,10.129.5.96:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,17470.0
2024-06-11 11:16:55.069999933,tgi_request_input_length_count,http,10.129.5.96:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,17486.0
2024-06-11 11:17:00.069999933,tgi_request_input_length_count,http,10.129.5.96:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,17486.0
