timestamp,__name__,endpoint,instance,job,namespace,pod,prometheus,service,value
2024-06-12 11:00:00.249000072,tgi_tokenize_request_input_count,http,10.129.5.140:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,0.0
2024-06-12 11:00:05.249000072,tgi_tokenize_request_input_count,http,10.129.5.140:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,0.0
2024-06-12 11:00:10.249000072,tgi_tokenize_request_input_count,http,10.129.5.140:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,0.0
2024-06-12 11:00:15.249000072,tgi_tokenize_request_input_count,http,10.129.5.140:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,0.0
2024-06-12 11:00:20.249000072,tgi_tokenize_request_input_count,http,10.129.5.140:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,0.0
2024-06-12 11:00:25.249000072,tgi_tokenize_request_input_count,http,10.129.5.140:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,0.0
2024-06-12 11:00:30.249000072,tgi_tokenize_request_input_count,http,10.129.5.140:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,0.0
2024-06-12 11:00:35.249000072,tgi_tokenize_request_input_count,http,10.129.5.140:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,0.0
2024-06-12 11:00:40.256000041,tgi_tokenize_request_input_count,http,10.129.5.140:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,0.0
2024-06-12 11:00:45.249000072,tgi_tokenize_request_input_count,http,10.129.5.140:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,0.0
2024-06-12 11:00:50.249000072,tgi_tokenize_request_input_count,http,10.129.5.140:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,0.0
2024-06-12 11:00:55.249000072,tgi_tokenize_request_input_count,http,10.129.5.140:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,0.0
2024-06-12 11:01:00.249000072,tgi_tokenize_request_input_count,http,10.129.5.140:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,0.0
2024-06-12 11:01:05.249000072,tgi_tokenize_request_input_count,http,10.129.5.140:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,0.0
2024-06-12 11:01:10.249000072,tgi_tokenize_request_input_count,http,10.129.5.140:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,0.0
2024-06-12 11:01:15.249000072,tgi_tokenize_request_input_count,http,10.129.5.140:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,0.0
2024-06-12 11:01:20.249000072,tgi_tokenize_request_input_count,http,10.129.5.140:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,0.0
2024-06-12 11:01:25.249000072,tgi_tokenize_request_input_count,http,10.129.5.140:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,0.0
2024-06-12 11:01:30.249000072,tgi_tokenize_request_input_count,http,10.129.5.140:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,0.0
2024-06-12 11:01:35.249000072,tgi_tokenize_request_input_count,http,10.129.5.140:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,0.0
2024-06-12 11:01:40.249000072,tgi_tokenize_request_input_count,http,10.129.5.140:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,0.0
2024-06-12 11:01:45.249000072,tgi_tokenize_request_input_count,http,10.129.5.140:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,0.0
2024-06-12 11:01:50.249000072,tgi_tokenize_request_input_count,http,10.129.5.140:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,0.0
2024-06-12 11:01:55.275000095,tgi_tokenize_request_input_count,http,10.129.5.140:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,0.0
2024-06-12 11:02:00.249000072,tgi_tokenize_request_input_count,http,10.129.5.140:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,0.0
2024-06-12 11:02:05.249000072,tgi_tokenize_request_input_count,http,10.129.5.140:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,0.0
2024-06-12 11:02:10.249000072,tgi_tokenize_request_input_count,http,10.129.5.140:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,0.0
2024-06-12 11:02:15.249000072,tgi_tokenize_request_input_count,http,10.129.5.140:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,0.0
2024-06-12 11:02:20.249000072,tgi_tokenize_request_input_count,http,10.129.5.140:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,0.0
2024-06-12 11:02:25.249000072,tgi_tokenize_request_input_count,http,10.129.5.140:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,0.0
2024-06-12 11:02:30.249000072,tgi_tokenize_request_input_count,http,10.129.5.140:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,0.0
2024-06-12 11:02:35.249000072,tgi_tokenize_request_input_count,http,10.129.5.140:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,0.0
2024-06-12 11:02:40.249000072,tgi_tokenize_request_input_count,http,10.129.5.140:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,0.0
2024-06-12 11:02:45.249000072,tgi_tokenize_request_input_count,http,10.129.5.140:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,0.0
2024-06-12 11:02:50.249000072,tgi_tokenize_request_input_count,http,10.129.5.140:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,0.0
2024-06-12 11:02:55.249000072,tgi_tokenize_request_input_count,http,10.129.5.140:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,0.0
2024-06-12 11:03:00.249000072,tgi_tokenize_request_input_count,http,10.129.5.140:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,0.0
2024-06-12 11:03:05.249000072,tgi_tokenize_request_input_count,http,10.129.5.140:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,0.0
2024-06-12 11:03:10.249000072,tgi_tokenize_request_input_count,http,10.129.5.140:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,0.0
2024-06-12 11:03:15.249000072,tgi_tokenize_request_input_count,http,10.129.5.140:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,0.0
2024-06-12 11:03:20.249000072,tgi_tokenize_request_input_count,http,10.129.5.140:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,0.0
2024-06-12 11:03:25.249000072,tgi_tokenize_request_input_count,http,10.129.5.140:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,0.0
2024-06-12 11:03:30.249000072,tgi_tokenize_request_input_count,http,10.129.5.140:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,0.0
2024-06-12 11:03:35.249000072,tgi_tokenize_request_input_count,http,10.129.5.140:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,0.0
2024-06-12 11:03:40.249000072,tgi_tokenize_request_input_count,http,10.129.5.140:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,0.0
2024-06-12 11:03:45.249000072,tgi_tokenize_request_input_count,http,10.129.5.140:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,0.0
2024-06-12 11:03:50.249000072,tgi_tokenize_request_input_count,http,10.129.5.140:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,0.0
2024-06-12 11:03:55.249000072,tgi_tokenize_request_input_count,http,10.129.5.140:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,0.0
2024-06-12 11:04:00.371000051,tgi_tokenize_request_input_count,http,10.129.5.140:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,0.0
2024-06-12 11:04:05.249000072,tgi_tokenize_request_input_count,http,10.129.5.140:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,0.0
2024-06-12 11:04:10.249000072,tgi_tokenize_request_input_count,http,10.129.5.140:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,0.0
2024-06-12 11:04:15.249000072,tgi_tokenize_request_input_count,http,10.129.5.140:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,0.0
2024-06-12 11:04:20.249000072,tgi_tokenize_request_input_count,http,10.129.5.140:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,0.0
2024-06-12 11:04:25.249000072,tgi_tokenize_request_input_count,http,10.129.5.140:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,0.0
2024-06-12 11:04:30.249000072,tgi_tokenize_request_input_count,http,10.129.5.140:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,0.0
2024-06-12 11:04:35.249000072,tgi_tokenize_request_input_count,http,10.129.5.140:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,0.0
2024-06-12 11:04:40.249000072,tgi_tokenize_request_input_count,http,10.129.5.140:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,0.0
2024-06-12 11:04:45.249000072,tgi_tokenize_request_input_count,http,10.129.5.140:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,0.0
2024-06-12 11:04:50.249000072,tgi_tokenize_request_input_count,http,10.129.5.140:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,0.0
2024-06-12 11:04:55.249000072,tgi_tokenize_request_input_count,http,10.129.5.140:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,0.0
2024-06-12 11:05:00.249000072,tgi_tokenize_request_input_count,http,10.129.5.140:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,0.0
2024-06-12 11:05:05.249000072,tgi_tokenize_request_input_count,http,10.129.5.140:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,0.0
2024-06-12 11:05:10.249000072,tgi_tokenize_request_input_count,http,10.129.5.140:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,0.0
2024-06-12 11:05:15.249000072,tgi_tokenize_request_input_count,http,10.129.5.140:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,0.0
