timestamp,__name__,endpoint,instance,job,kind,namespace,pod,prometheus,service,user,value
2024-07-17 11:45:01.390000105,tgi_request_count,http,10.128.4.69:3000,tgis-bam,single,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,24.0
2024-07-17 11:45:06.390000105,tgi_request_count,http,10.128.4.69:3000,tgis-bam,single,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,30.0
2024-07-17 11:45:11.390000105,tgi_request_count,http,10.128.4.69:3000,tgis-bam,single,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,30.0
2024-07-17 11:45:16.390000105,tgi_request_count,http,10.128.4.69:3000,tgis-bam,single,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,32.0
2024-07-17 11:45:21.390000105,tgi_request_count,http,10.128.4.69:3000,tgis-bam,single,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,32.0
2024-07-17 11:45:26.408999920,tgi_request_count,http,10.128.4.69:3000,tgis-bam,single,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,40.0
2024-07-17 11:45:31.390000105,tgi_request_count,http,10.128.4.69:3000,tgis-bam,single,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,40.0
2024-07-17 11:45:36.390000105,tgi_request_count,http,10.128.4.69:3000,tgis-bam,single,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,46.0
2024-07-17 11:45:41.390000105,tgi_request_count,http,10.128.4.69:3000,tgis-bam,single,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,46.0
2024-07-17 11:45:46.390000105,tgi_request_count,http,10.128.4.69:3000,tgis-bam,single,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,53.0
2024-07-17 11:45:51.390000105,tgi_request_count,http,10.128.4.69:3000,tgis-bam,single,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,53.0
2024-07-17 11:45:56.390000105,tgi_request_count,http,10.128.4.69:3000,tgis-bam,single,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,58.0
2024-07-17 11:46:01.390000105,tgi_request_count,http,10.128.4.69:3000,tgis-bam,single,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,58.0
2024-07-17 11:46:06.390000105,tgi_request_count,http,10.128.4.69:3000,tgis-bam,single,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,62.0
2024-07-17 11:46:11.401999950,tgi_request_count,http,10.128.4.69:3000,tgis-bam,single,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,62.0
2024-07-17 11:46:16.390000105,tgi_request_count,http,10.128.4.69:3000,tgis-bam,single,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,68.0
2024-07-17 11:46:21.390000105,tgi_request_count,http,10.128.4.69:3000,tgis-bam,single,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,68.0
2024-07-17 11:46:26.390000105,tgi_request_count,http,10.128.4.69:3000,tgis-bam,single,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,76.0
2024-07-17 11:46:31.390000105,tgi_request_count,http,10.128.4.69:3000,tgis-bam,single,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,76.0
2024-07-17 11:46:36.390000105,tgi_request_count,http,10.128.4.69:3000,tgis-bam,single,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,84.0
2024-07-17 11:46:41.390000105,tgi_request_count,http,10.128.4.69:3000,tgis-bam,single,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,84.0
2024-07-17 11:46:46.390000105,tgi_request_count,http,10.128.4.69:3000,tgis-bam,single,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,87.0
2024-07-17 11:46:51.390000105,tgi_request_count,http,10.128.4.69:3000,tgis-bam,single,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,87.0
2024-07-17 11:46:56.390000105,tgi_request_count,http,10.128.4.69:3000,tgis-bam,single,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,89.0
2024-07-17 11:47:01.390000105,tgi_request_count,http,10.128.4.69:3000,tgis-bam,single,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,89.0
2024-07-17 11:47:06.390000105,tgi_request_count,http,10.128.4.69:3000,tgis-bam,single,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,98.0
2024-07-17 11:47:11.390000105,tgi_request_count,http,10.128.4.69:3000,tgis-bam,single,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,98.0
2024-07-17 11:47:16.390000105,tgi_request_count,http,10.128.4.69:3000,tgis-bam,single,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,103.0
2024-07-17 11:47:21.390000105,tgi_request_count,http,10.128.4.69:3000,tgis-bam,single,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,103.0
2024-07-17 11:47:26.390000105,tgi_request_count,http,10.128.4.69:3000,tgis-bam,single,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,108.0
2024-07-17 11:47:31.390000105,tgi_request_count,http,10.128.4.69:3000,tgis-bam,single,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,108.0
2024-07-17 11:47:36.390000105,tgi_request_count,http,10.128.4.69:3000,tgis-bam,single,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,115.0
2024-07-17 11:47:41.390000105,tgi_request_count,http,10.128.4.69:3000,tgis-bam,single,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,115.0
2024-07-17 11:47:46.390000105,tgi_request_count,http,10.128.4.69:3000,tgis-bam,single,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,122.0
2024-07-17 11:47:51.390000105,tgi_request_count,http,10.128.4.69:3000,tgis-bam,single,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,122.0
2024-07-17 11:47:56.390000105,tgi_request_count,http,10.128.4.69:3000,tgis-bam,single,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,130.0
2024-07-17 11:48:01.390000105,tgi_request_count,http,10.128.4.69:3000,tgis-bam,single,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,130.0
2024-07-17 11:48:06.390000105,tgi_request_count,http,10.128.4.69:3000,tgis-bam,single,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,138.0
2024-07-17 11:48:11.390000105,tgi_request_count,http,10.128.4.69:3000,tgis-bam,single,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,138.0
2024-07-17 11:48:16.390000105,tgi_request_count,http,10.128.4.69:3000,tgis-bam,single,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,144.0
2024-07-17 11:48:21.390000105,tgi_request_count,http,10.128.4.69:3000,tgis-bam,single,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,144.0
2024-07-17 11:48:26.390000105,tgi_request_count,http,10.128.4.69:3000,tgis-bam,single,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,148.0
2024-07-17 11:48:31.390000105,tgi_request_count,http,10.128.4.69:3000,tgis-bam,single,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,148.0
2024-07-17 11:48:36.390000105,tgi_request_count,http,10.128.4.69:3000,tgis-bam,single,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,152.0
2024-07-17 11:48:41.390000105,tgi_request_count,http,10.128.4.69:3000,tgis-bam,single,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,152.0
2024-07-17 11:48:46.390000105,tgi_request_count,http,10.128.4.69:3000,tgis-bam,single,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,163.0
2024-07-17 11:48:51.390000105,tgi_request_count,http,10.128.4.69:3000,tgis-bam,single,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,163.0
2024-07-17 11:48:56.390000105,tgi_request_count,http,10.128.4.69:3000,tgis-bam,single,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,166.0
2024-07-17 11:49:01.390000105,tgi_request_count,http,10.128.4.69:3000,tgis-bam,single,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,166.0
2024-07-17 11:49:06.390000105,tgi_request_count,http,10.128.4.69:3000,tgis-bam,single,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,173.0
2024-07-17 11:49:11.390000105,tgi_request_count,http,10.128.4.69:3000,tgis-bam,single,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,173.0
2024-07-17 11:49:16.390000105,tgi_request_count,http,10.128.4.69:3000,tgis-bam,single,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,176.0
2024-07-17 11:49:21.390000105,tgi_request_count,http,10.128.4.69:3000,tgis-bam,single,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,176.0
2024-07-17 11:49:26.407000065,tgi_request_count,http,10.128.4.69:3000,tgis-bam,single,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,180.0
2024-07-17 11:49:31.390000105,tgi_request_count,http,10.128.4.69:3000,tgis-bam,single,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,180.0
2024-07-17 11:49:36.390000105,tgi_request_count,http,10.128.4.69:3000,tgis-bam,single,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,186.0
2024-07-17 11:49:41.390000105,tgi_request_count,http,10.128.4.69:3000,tgis-bam,single,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,186.0
2024-07-17 11:49:46.390000105,tgi_request_count,http,10.128.4.69:3000,tgis-bam,single,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,187.0
2024-07-17 11:49:51.390000105,tgi_request_count,http,10.128.4.69:3000,tgis-bam,single,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,187.0
2024-07-17 11:49:56.417000055,tgi_request_count,http,10.128.4.69:3000,tgis-bam,single,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,190.0
2024-07-17 11:50:01.390000105,tgi_request_count,http,10.128.4.69:3000,tgis-bam,single,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,190.0
2024-07-17 11:50:06.390000105,tgi_request_count,http,10.128.4.69:3000,tgis-bam,single,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,195.0
2024-07-17 11:50:11.421000004,tgi_request_count,http,10.128.4.69:3000,tgis-bam,single,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,195.0
