timestamp,__name__,endpoint,instance,job,namespace,pod,prometheus,service,value
2024-06-20 05:31:49.368000000,tgi_request_input_length_sum,http,10.130.4.253:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,193140.0
2024-06-20 05:31:54.368000000,tgi_request_input_length_sum,http,10.130.4.253:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,208645.0
2024-06-20 05:31:59.368000000,tgi_request_input_length_sum,http,10.130.4.253:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,208645.0
2024-06-20 05:32:04.368000000,tgi_request_input_length_sum,http,10.130.4.253:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,221766.0
2024-06-20 05:32:09.368000000,tgi_request_input_length_sum,http,10.130.4.253:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,221766.0
2024-06-20 05:32:14.368000000,tgi_request_input_length_sum,http,10.130.4.253:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,235490.0
2024-06-20 05:32:19.368000000,tgi_request_input_length_sum,http,10.130.4.253:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,235490.0
2024-06-20 05:32:24.368000000,tgi_request_input_length_sum,http,10.130.4.253:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,246333.0
2024-06-20 05:32:29.368000000,tgi_request_input_length_sum,http,10.130.4.253:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,246333.0
2024-06-20 05:32:34.368000000,tgi_request_input_length_sum,http,10.130.4.253:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,258253.0
2024-06-20 05:32:39.368000000,tgi_request_input_length_sum,http,10.130.4.253:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,258253.0
2024-06-20 05:32:44.368000000,tgi_request_input_length_sum,http,10.130.4.253:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,274231.0
2024-06-20 05:32:49.368000000,tgi_request_input_length_sum,http,10.130.4.253:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,274231.0
2024-06-20 05:32:54.368000000,tgi_request_input_length_sum,http,10.130.4.253:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,301173.0
2024-06-20 05:32:59.368000000,tgi_request_input_length_sum,http,10.130.4.253:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,301173.0
2024-06-20 05:33:04.368000000,tgi_request_input_length_sum,http,10.130.4.253:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,315953.0
2024-06-20 05:33:09.368000000,tgi_request_input_length_sum,http,10.130.4.253:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,315953.0
2024-06-20 05:33:14.368000000,tgi_request_input_length_sum,http,10.130.4.253:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,333636.0
2024-06-20 05:33:19.368000000,tgi_request_input_length_sum,http,10.130.4.253:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,333636.0
2024-06-20 05:33:24.368000000,tgi_request_input_length_sum,http,10.130.4.253:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,352718.0
2024-06-20 05:33:29.368000000,tgi_request_input_length_sum,http,10.130.4.253:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,352718.0
2024-06-20 05:33:34.368000000,tgi_request_input_length_sum,http,10.130.4.253:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,369126.0
2024-06-20 05:33:39.368000000,tgi_request_input_length_sum,http,10.130.4.253:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,369126.0
2024-06-20 05:33:44.368000000,tgi_request_input_length_sum,http,10.130.4.253:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,391779.0
2024-06-20 05:33:49.368000000,tgi_request_input_length_sum,http,10.130.4.253:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,391779.0
2024-06-20 05:33:54.368000000,tgi_request_input_length_sum,http,10.130.4.253:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,409408.0
2024-06-20 05:33:59.368000000,tgi_request_input_length_sum,http,10.130.4.253:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,409408.0
2024-06-20 05:34:04.368000000,tgi_request_input_length_sum,http,10.130.4.253:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,418786.0
2024-06-20 05:34:09.368000000,tgi_request_input_length_sum,http,10.130.4.253:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,418786.0
2024-06-20 05:34:14.368000000,tgi_request_input_length_sum,http,10.130.4.253:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,426651.0
2024-06-20 05:34:19.368000000,tgi_request_input_length_sum,http,10.130.4.253:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,426651.0
2024-06-20 05:34:24.368000000,tgi_request_input_length_sum,http,10.130.4.253:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,432649.0
2024-06-20 05:34:29.368000000,tgi_request_input_length_sum,http,10.130.4.253:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,432649.0
2024-06-20 05:34:34.368000000,tgi_request_input_length_sum,http,10.130.4.253:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,444368.0
2024-06-20 05:34:39.368000000,tgi_request_input_length_sum,http,10.130.4.253:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,444368.0
2024-06-20 05:34:44.380000000,tgi_request_input_length_sum,http,10.130.4.253:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,446915.0
2024-06-20 05:34:49.368000000,tgi_request_input_length_sum,http,10.130.4.253:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,446915.0
2024-06-20 05:34:54.368000000,tgi_request_input_length_sum,http,10.130.4.253:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,462177.0
2024-06-20 05:34:59.368000000,tgi_request_input_length_sum,http,10.130.4.253:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,462177.0
2024-06-20 05:35:04.368000000,tgi_request_input_length_sum,http,10.130.4.253:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,483088.0
2024-06-20 05:35:09.368000000,tgi_request_input_length_sum,http,10.130.4.253:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,483088.0
2024-06-20 05:35:14.368000000,tgi_request_input_length_sum,http,10.130.4.253:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,506548.0
2024-06-20 05:35:19.368000000,tgi_request_input_length_sum,http,10.130.4.253:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,506548.0
2024-06-20 05:35:24.368000000,tgi_request_input_length_sum,http,10.130.4.253:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,526453.0
2024-06-20 05:35:29.368000000,tgi_request_input_length_sum,http,10.130.4.253:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,526453.0
2024-06-20 05:35:34.368000000,tgi_request_input_length_sum,http,10.130.4.253:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,541689.0
2024-06-20 05:35:39.368000000,tgi_request_input_length_sum,http,10.130.4.253:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,541689.0
2024-06-20 05:35:44.368000000,tgi_request_input_length_sum,http,10.130.4.253:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,557546.0
2024-06-20 05:35:49.368000000,tgi_request_input_length_sum,http,10.130.4.253:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,557546.0
2024-06-20 05:35:54.368000000,tgi_request_input_length_sum,http,10.130.4.253:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,574650.0
2024-06-20 05:35:59.368000000,tgi_request_input_length_sum,http,10.130.4.253:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,574650.0
2024-06-20 05:36:04.368000000,tgi_request_input_length_sum,http,10.130.4.253:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,584873.0
2024-06-20 05:36:09.368000000,tgi_request_input_length_sum,http,10.130.4.253:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,584873.0
2024-06-20 05:36:14.368000000,tgi_request_input_length_sum,http,10.130.4.253:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,606683.0
2024-06-20 05:36:19.368000000,tgi_request_input_length_sum,http,10.130.4.253:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,606683.0
2024-06-20 05:36:24.368000000,tgi_request_input_length_sum,http,10.130.4.253:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,620461.0
2024-06-20 05:36:29.368000000,tgi_request_input_length_sum,http,10.130.4.253:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,620461.0
2024-06-20 05:36:34.368000000,tgi_request_input_length_sum,http,10.130.4.253:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,642796.0
2024-06-20 05:36:39.368000000,tgi_request_input_length_sum,http,10.130.4.253:3000,tgis-bam,fmaas-monitoring,llama3-new,openshift-user-workload-monitoring/user-workload,tgis-bam,642796.0
