timestamp,__name__,endpoint,instance,job,namespace,pod,prometheus,service,user,value
2024-07-17 06:38:00.624000072,tgi_request_inference_duration_count,http,10.128.4.67:3000,tgis-bam,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,2.0
2024-07-17 06:38:05.618000031,tgi_request_inference_duration_count,http,10.128.4.67:3000,tgis-bam,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,2.0
2024-07-17 06:38:10.618000031,tgi_request_inference_duration_count,http,10.128.4.67:3000,tgis-bam,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,2.0
2024-07-17 06:38:15.618000031,tgi_request_inference_duration_count,http,10.128.4.67:3000,tgis-bam,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,2.0
2024-07-17 06:38:20.618000031,tgi_request_inference_duration_count,http,10.128.4.67:3000,tgis-bam,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,2.0
2024-07-17 06:38:25.618000031,tgi_request_inference_duration_count,http,10.128.4.67:3000,tgis-bam,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,2.0
2024-07-17 06:38:30.618000031,tgi_request_inference_duration_count,http,10.128.4.67:3000,tgis-bam,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,2.0
2024-07-17 06:38:35.618000031,tgi_request_inference_duration_count,http,10.128.4.67:3000,tgis-bam,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,2.0
2024-07-17 06:38:40.618000031,tgi_request_inference_duration_count,http,10.128.4.67:3000,tgis-bam,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,3.0
2024-07-17 06:38:45.622999907,tgi_request_inference_duration_count,http,10.128.4.67:3000,tgis-bam,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,3.0
2024-07-17 06:38:50.618000031,tgi_request_inference_duration_count,http,10.128.4.67:3000,tgis-bam,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,3.0
2024-07-17 06:38:55.618000031,tgi_request_inference_duration_count,http,10.128.4.67:3000,tgis-bam,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,3.0
2024-07-17 06:39:00.618000031,tgi_request_inference_duration_count,http,10.128.4.67:3000,tgis-bam,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,3.0
2024-07-17 06:39:05.618000031,tgi_request_inference_duration_count,http,10.128.4.67:3000,tgis-bam,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,3.0
2024-07-17 06:39:10.618000031,tgi_request_inference_duration_count,http,10.128.4.67:3000,tgis-bam,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,3.0
2024-07-17 06:39:15.618000031,tgi_request_inference_duration_count,http,10.128.4.67:3000,tgis-bam,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,5.0
2024-07-17 06:39:20.618000031,tgi_request_inference_duration_count,http,10.128.4.67:3000,tgis-bam,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,6.0
2024-07-17 06:39:25.618000031,tgi_request_inference_duration_count,http,10.128.4.67:3000,tgis-bam,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,6.0
2024-07-17 06:39:30.618000031,tgi_request_inference_duration_count,http,10.128.4.67:3000,tgis-bam,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,6.0
2024-07-17 06:39:35.618000031,tgi_request_inference_duration_count,http,10.128.4.67:3000,tgis-bam,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,7.0
2024-07-17 06:39:40.618000031,tgi_request_inference_duration_count,http,10.128.4.67:3000,tgis-bam,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,7.0
2024-07-17 06:39:45.618000031,tgi_request_inference_duration_count,http,10.128.4.67:3000,tgis-bam,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,7.0
2024-07-17 06:39:50.618000031,tgi_request_inference_duration_count,http,10.128.4.67:3000,tgis-bam,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,7.0
2024-07-17 06:39:55.618000031,tgi_request_inference_duration_count,http,10.128.4.67:3000,tgis-bam,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,7.0
2024-07-17 06:40:00.618000031,tgi_request_inference_duration_count,http,10.128.4.67:3000,tgis-bam,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,10.0
2024-07-17 06:40:05.618000031,tgi_request_inference_duration_count,http,10.128.4.67:3000,tgis-bam,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,10.0
2024-07-17 06:40:10.618000031,tgi_request_inference_duration_count,http,10.128.4.67:3000,tgis-bam,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,11.0
2024-07-17 06:40:15.618000031,tgi_request_inference_duration_count,http,10.128.4.67:3000,tgis-bam,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,11.0
2024-07-17 06:40:20.618000031,tgi_request_inference_duration_count,http,10.128.4.67:3000,tgis-bam,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,11.0
2024-07-17 06:40:25.618000031,tgi_request_inference_duration_count,http,10.128.4.67:3000,tgis-bam,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,11.0
2024-07-17 06:40:30.618000031,tgi_request_inference_duration_count,http,10.128.4.67:3000,tgis-bam,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,12.0
2024-07-17 06:40:35.618000031,tgi_request_inference_duration_count,http,10.128.4.67:3000,tgis-bam,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,12.0
2024-07-17 06:40:40.618000031,tgi_request_inference_duration_count,http,10.128.4.67:3000,tgis-bam,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,14.0
2024-07-17 06:40:45.618000031,tgi_request_inference_duration_count,http,10.128.4.67:3000,tgis-bam,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,14.0
2024-07-17 06:40:50.618000031,tgi_request_inference_duration_count,http,10.128.4.67:3000,tgis-bam,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,14.0
2024-07-17 06:40:55.618000031,tgi_request_inference_duration_count,http,10.128.4.67:3000,tgis-bam,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,14.0
2024-07-17 06:41:00.618000031,tgi_request_inference_duration_count,http,10.128.4.67:3000,tgis-bam,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,14.0
2024-07-17 06:41:05.618000031,tgi_request_inference_duration_count,http,10.128.4.67:3000,tgis-bam,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,15.0
2024-07-17 06:41:10.618000031,tgi_request_inference_duration_count,http,10.128.4.67:3000,tgis-bam,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,19.0
2024-07-17 06:41:15.618000031,tgi_request_inference_duration_count,http,10.128.4.67:3000,tgis-bam,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,26.0
2024-07-17 06:41:20.618000031,tgi_request_inference_duration_count,http,10.128.4.67:3000,tgis-bam,fmaas-monitoring,llama3-v3,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,26.0
