timestamp,__name__,endpoint,instance,job,namespace,pod,prometheus,service,value
2024-07-15 16:26:38.275000095,tgi_batch_next_tokens_sum,http,10.128.4.41:3000,tgis-bam,fmaas-monitoring,llama3-priority,openshift-user-workload-monitoring/user-workload,tgis-bam,8329.0
2024-07-15 16:26:43.262000084,tgi_batch_next_tokens_sum,http,10.128.4.41:3000,tgis-bam,fmaas-monitoring,llama3-priority,openshift-user-workload-monitoring/user-workload,tgis-bam,20276.0
2024-07-15 16:26:48.259000063,tgi_batch_next_tokens_sum,http,10.128.4.41:3000,tgis-bam,fmaas-monitoring,llama3-priority,openshift-user-workload-monitoring/user-workload,tgis-bam,26084.0
2024-07-15 16:26:53.259000063,tgi_batch_next_tokens_sum,http,10.128.4.41:3000,tgis-bam,fmaas-monitoring,llama3-priority,openshift-user-workload-monitoring/user-workload,tgis-bam,45382.0
2024-07-15 16:26:58.259000063,tgi_batch_next_tokens_sum,http,10.128.4.41:3000,tgis-bam,fmaas-monitoring,llama3-priority,openshift-user-workload-monitoring/user-workload,tgis-bam,48510.0
2024-07-15 16:27:03.259000063,tgi_batch_next_tokens_sum,http,10.128.4.41:3000,tgis-bam,fmaas-monitoring,llama3-priority,openshift-user-workload-monitoring/user-workload,tgis-bam,48510.0
2024-07-15 16:27:08.259000063,tgi_batch_next_tokens_sum,http,10.128.4.41:3000,tgis-bam,fmaas-monitoring,llama3-priority,openshift-user-workload-monitoring/user-workload,tgis-bam,48510.0
2024-07-15 16:27:13.259000063,tgi_batch_next_tokens_sum,http,10.128.4.41:3000,tgis-bam,fmaas-monitoring,llama3-priority,openshift-user-workload-monitoring/user-workload,tgis-bam,48510.0
2024-07-15 16:27:18.259000063,tgi_batch_next_tokens_sum,http,10.128.4.41:3000,tgis-bam,fmaas-monitoring,llama3-priority,openshift-user-workload-monitoring/user-workload,tgis-bam,48510.0
2024-07-15 16:27:23.259000063,tgi_batch_next_tokens_sum,http,10.128.4.41:3000,tgis-bam,fmaas-monitoring,llama3-priority,openshift-user-workload-monitoring/user-workload,tgis-bam,48699.0
2024-07-15 16:27:28.259000063,tgi_batch_next_tokens_sum,http,10.128.4.41:3000,tgis-bam,fmaas-monitoring,llama3-priority,openshift-user-workload-monitoring/user-workload,tgis-bam,53044.0
2024-07-15 16:27:33.259000063,tgi_batch_next_tokens_sum,http,10.128.4.41:3000,tgis-bam,fmaas-monitoring,llama3-priority,openshift-user-workload-monitoring/user-workload,tgis-bam,54268.0
2024-07-15 16:27:38.259000063,tgi_batch_next_tokens_sum,http,10.128.4.41:3000,tgis-bam,fmaas-monitoring,llama3-priority,openshift-user-workload-monitoring/user-workload,tgis-bam,61452.0
2024-07-15 16:27:43.259000063,tgi_batch_next_tokens_sum,http,10.128.4.41:3000,tgis-bam,fmaas-monitoring,llama3-priority,openshift-user-workload-monitoring/user-workload,tgis-bam,63540.0
2024-07-15 16:27:48.259000063,tgi_batch_next_tokens_sum,http,10.128.4.41:3000,tgis-bam,fmaas-monitoring,llama3-priority,openshift-user-workload-monitoring/user-workload,tgis-bam,63540.0
2024-07-15 16:27:53.259000063,tgi_batch_next_tokens_sum,http,10.128.4.41:3000,tgis-bam,fmaas-monitoring,llama3-priority,openshift-user-workload-monitoring/user-workload,tgis-bam,63540.0
2024-07-15 16:27:58.267999887,tgi_batch_next_tokens_sum,http,10.128.4.41:3000,tgis-bam,fmaas-monitoring,llama3-priority,openshift-user-workload-monitoring/user-workload,tgis-bam,65211.0
2024-07-15 16:28:03.259000063,tgi_batch_next_tokens_sum,http,10.128.4.41:3000,tgis-bam,fmaas-monitoring,llama3-priority,openshift-user-workload-monitoring/user-workload,tgis-bam,67456.0
2024-07-15 16:28:08.259000063,tgi_batch_next_tokens_sum,http,10.128.4.41:3000,tgis-bam,fmaas-monitoring,llama3-priority,openshift-user-workload-monitoring/user-workload,tgis-bam,86106.0
2024-07-15 16:28:13.259000063,tgi_batch_next_tokens_sum,http,10.128.4.41:3000,tgis-bam,fmaas-monitoring,llama3-priority,openshift-user-workload-monitoring/user-workload,tgis-bam,101590.0
2024-07-15 16:28:18.259000063,tgi_batch_next_tokens_sum,http,10.128.4.41:3000,tgis-bam,fmaas-monitoring,llama3-priority,openshift-user-workload-monitoring/user-workload,tgis-bam,103074.0
2024-07-15 16:28:23.259000063,tgi_batch_next_tokens_sum,http,10.128.4.41:3000,tgis-bam,fmaas-monitoring,llama3-priority,openshift-user-workload-monitoring/user-workload,tgis-bam,103074.0
2024-07-15 16:28:28.259000063,tgi_batch_next_tokens_sum,http,10.128.4.41:3000,tgis-bam,fmaas-monitoring,llama3-priority,openshift-user-workload-monitoring/user-workload,tgis-bam,103074.0
2024-07-15 16:28:33.259000063,tgi_batch_next_tokens_sum,http,10.128.4.41:3000,tgis-bam,fmaas-monitoring,llama3-priority,openshift-user-workload-monitoring/user-workload,tgis-bam,105625.0
2024-07-15 16:28:38.259000063,tgi_batch_next_tokens_sum,http,10.128.4.41:3000,tgis-bam,fmaas-monitoring,llama3-priority,openshift-user-workload-monitoring/user-workload,tgis-bam,108364.0
